answer_id,visit_id,question_id,campaign_id,project_id,project_name,client_id,client_name,campaign_name,intervention_point_id,route_id,employee_id,employee_name,is_main_employee,workers_assigned_count,employee_active_status,employee_contract_type,employee_address_province,visit_date,visit_time,visit_status,visit_type,is_client_billable,question_name,question_category,question_order,question_is_highlighted,image_associated,question_type,answer,expected_answer,fk_visit_id_valid,fk_question_id_valid,created_at,updated_at_sys
3,1,8,1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Oct 2025 – Proyecto Mantenimiento 1,56,3,44,José,true,2,true,TEMP,BARCELONA,2026-01-02,18:15:00,INFO,,true,Indica el nº de facings de Reflex Gel,2. Visibilidad,8,false,true,S,"0, No tienen stock",Si,true,true,2025-12-31,2026-02-16
6,1,3,1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Oct 2025 – Proyecto Mantenimiento 1,56,3,44,José,true,2,true,TEMP,BARCELONA,2026-01-02,18:15:00,INFO,,true,Indica el nº de facings de Reflex Spray,2. Visibilidad,3,false,true,S,4,,true,true,2025-12-31,2026-02-16
38,5,5,1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Oct 2025 – Proyecto Mantenimiento 1,83,3,44,José,true,2,true,TEMP,BARCELONA,2026-01-05,13:30:00,NOVIS,C,true,Que producto en concreto?,1. Visita,5,false,false,T,Sin comentarios,Si,true,true,2026-01-01,2026-02-21
41,6,1,1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Oct 2025 – Proyecto Mantenimiento 1,113,3,44,José,true,2,true,TEMP,BARCELONA,2026-01-03,11:30:00,INCID,,true,"En caso de hacer una mejora en Strepsils/Strefen, indícalo",2. Visibilidad,1,false,false,M,Segundo espacio,,true,true,2026-01-03,2026-03-03
58,8,11,1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Oct 2025 – Proyecto Mantenimiento 1,249,1,32,Javier,true,2,true,TEMP,ASTURIAS,2026-01-07,15:00:00,INCID,C,true,Indica el nº de facings de Strepsils/Strefen,2. Visibilidad,11,false,true,S,1,,true,true,2026-01-06,2026-02-28
73,10,7,1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Oct 2025 – Proyecto Mantenimiento 1,181,1,32,Javier,true,2,true,TEMP,ASTURIAS,2026-03-01,14:30:00,INFO,,true,"En caso de hacer una mejora en Gaviscon, indícalo",2. Visibilidad,7,false,true,M,Sacar del cajon,No,true,true,2026-03-01,2026-04-14
76,10,1,1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Oct 2025 – Proyecto Mantenimiento 1,181,1,32,Javier,true,2,true,TEMP,ASTURIAS,2026-03-01,14:30:00,INFO,,true,"En caso de hacer una mejora en Strepsils/Strefen, indícalo",2. Visibilidad,1,false,false,M,Ampliar facings,Si,true,true,2026-03-01,2026-04-14
94,12,5,1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Oct 2025 – Proyecto Mantenimiento 1,12,1,32,Javier,true,2,true,TEMP,ASTURIAS,2026-01-25,10:30:00,INCID,T,true,Que producto en concreto?,1. Visita,5,false,false,T,Farmacéutico adjunto,No,true,true,2026-01-24,2026-03-16
105,13,13,1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Oct 2025 – Proyecto Mantenimiento 1,214,1,32,Javier,true,2,true,TEMP,ASTURIAS,2026-03-08,14:00:00,INCID,,,HORARIO,1.Info,13,false,false,T,OK,,true,true,2026-03-05,2026-04-28
109,13,6,1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Oct 2025 – Proyecto Mantenimiento 1,214,1,32,Javier,true,2,true,TEMP,ASTURIAS,2026-03-08,14:00:00,INCID,,,Indica el nº de facings de Nurofen,2. Visibilidad,6,true,false,S,4,,true,true,2026-03-05,2026-04-28
147,20,17,2,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Jan 2026 – Proyecto Mantenimiento 1,195,7,26,Sara,true,2,true,TEMP,VISEU DÃO LAFÕES,2026-01-24,08:45:00,INCID,T,,OBSERV VISITA,1.Info,4,true,true,T,Sin comentarios,,true,true,2026-01-21,2026-04-18
164,25,17,2,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Jan 2026 – Proyecto Mantenimiento 1,243,4,28,Javier,true,2,true,PART,VISEU,2026-02-18,10:45:00,INCID,V,false,OBSERV VISITA,1.Info,4,true,true,T,Titular disponible,,true,true,2026-02-16,2026-04-05
178,29,17,2,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Jan 2026 – Proyecto Mantenimiento 1,240,5,36,Carlos,true,2,true,,ALMERÍA,2026-02-10,15:15:00,INCID,V,false,OBSERV VISITA,1.Info,4,true,true,T,OK,Si,true,true,2026-02-10,2026-04-28
185,31,18,2,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Jan 2026 – Proyecto Mantenimiento 1,199,8,34,Pablo,true,2,true,TEMP,ZAMORA,2026-02-25,08:30:00,INFO,T,true,"En caso de hacer una mejora en Gaviscon, indícalo",2. Visibilidad,5,false,false,M,Mejora altura,Si,true,true,2026-02-21,2026-05-16
201,36,18,2,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,Campaña Jan 2026 – Proyecto Mantenimiento 1,104,7,26,Sara,true,2,true,TEMP,VISEU DÃO LAFÕES,2026-02-13,16:30:00,INCID,V,true,"En caso de hacer una mejora en Gaviscon, indícalo",2. Visibilidad,5,false,false,M,Mejora altura,No,true,true,2026-02-10,2026-04-02
293,65,22,3,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Nov 2025 – Proyecto Formación 2,78,11,28,Javier,true,2,true,PART,VISEU,2026-02-12,12:15:00,INCID,V,,,2. Visibilidad,4,false,false,S,,No,true,true,2026-02-07,2026-04-02
311,69,27,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,47,15,15,Miguel,true,2,true,INDEF,LUGO,2026-03-06,11:00:00,INFO,V,false,Núm. de personas formadas,1. Visita,4,false,true,N,20,,true,true,2026-03-06,2026-05-13
329,71,24,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,220,14,13,Sara,true,2,true,,BADAJOZ,2026-02-24,14:45:00,INCID,,true,Nombre de la persona formada,1. Visita,1,false,true,T,Titular disponible,,true,true,2026-02-19,2026-05-06
339,72,24,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,54,16,33,Laura,true,2,true,INDEF,GRANADA,2026-02-09,10:45:00,INFO,,false,Nombre de la persona formada,1. Visita,1,false,true,T,,Si,true,true,2026-02-06,2026-04-25
356,74,31,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,80,16,33,Laura,true,2,true,INDEF,GRANADA,2026-03-08,12:00:00,INFO,,false,Indica el nº de facings de Reflex Gel,2. Visibilidad,8,false,false,S,7,,true,true,2026-03-06,2026-03-13
362,75,29,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,215,15,15,Miguel,true,2,true,INDEF,LUGO,2026-02-18,15:30:00,INCID,C,false,Indica tiempo de la visita (en min),1. Visita,6,false,true,N,20,No,true,true,2026-02-13,2026-04-14
370,76,33,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,15,16,33,Laura,true,2,true,INDEF,GRANADA,2026-02-23,18:30:00,INCID,,true,"En caso de hacer una mejora en Nurofen, indícalo",2. Visibilidad,10,false,false,M,Sacar del cajon,,true,true,2026-02-18,2026-04-26
420,83,24,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,76,16,33,Laura,true,2,true,INDEF,GRANADA,2026-03-13,09:45:00,INCID,C,true,Nombre de la persona formada,1. Visita,1,false,true,T,OK,No,true,true,2026-03-13,2026-04-19
436,85,28,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,38,14,13,Sara,true,2,true,,BADAJOZ,2026-01-28,16:15:00,INCID,,false,OBSERV VISITA,1.Info,5,false,false,T,Farmacéutico adjunto,Si,true,true,2026-01-23,2026-03-02
451,89,25,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,181,14,13,Sara,true,2,true,,BADAJOZ,2026-02-25,18:30:00,INCID,,false,CONTACTO VISITA,1.Info,2,false,false,T,Auxiliar de farmacia,,true,true,2026-02-21,2026-04-06
461,90,26,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,249,16,33,Laura,true,2,true,INDEF,GRANADA,2026-01-01,17:00:00,INCID,V,false,Que producto en concreto?,1. Visita,3,false,false,T,,No,true,true,2025-12-31,2026-02-16
488,94,26,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,47,16,33,Laura,true,2,true,INDEF,GRANADA,2026-03-05,17:15:00,INFO,V,true,Que producto en concreto?,1. Visita,3,false,false,T,Auxiliar de farmacia,,true,true,2026-03-05,2026-03-09
499,96,33,4,2,Proyecto Formación 2,2,Pharmakon Consumer Health,Campaña Oct 2025 – Proyecto Formación 2,201,15,15,Miguel,true,2,true,INDEF,LUGO,2026-02-19,10:15:00,INCID,T,true,"En caso de hacer una mejora en Nurofen, indícalo",2. Visibilidad,10,false,false,M,Mejora altura,,true,true,2026-02-14,2026-05-05
586,108,36,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,143,17,40,Claudia,true,2,true,PART,MADRID,2026-02-21,14:00:00,INFO,C,true,"En caso de hacer una mejora en Gaviscon, indícalo",2. Visibilidad,3,false,true,M,Sacar del cajon,Si,true,true,2026-02-21,2026-05-19
614,112,35,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,161,17,40,Claudia,true,2,true,PART,MADRID,2026-05-03,15:45:00,INCID,,false,HORARIO,1.Info,2,false,false,T,Titular disponible,,true,true,2026-05-02,2026-05-10
624,113,36,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,183,17,40,Claudia,true,2,true,PART,MADRID,2026-02-12,15:45:00,INCID,,true,"En caso de hacer una mejora en Gaviscon, indícalo",2. Visibilidad,3,false,true,M,Ampliar facings,,true,true,2026-02-08,2026-05-06
633,114,36,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,77,17,40,Claudia,true,2,true,PART,MADRID,2026-03-14,16:45:00,,V,false,"En caso de hacer una mejora en Gaviscon, indícalo",2. Visibilidad,3,false,true,M,Mejora altura,No,true,true,2026-03-13,2026-04-17
642,115,43,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,175,17,40,Claudia,true,2,true,PART,MADRID,2026-04-21,15:15:00,INCID,C,false,Que producto en concreto?,1. Visita,10,false,false,T,Auxiliar de farmacia,No,true,true,2026-04-16,2026-05-11
665,118,39,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,72,17,40,Claudia,true,2,true,PART,MADRID,2026-04-15,08:15:00,INCID,V,true,Resultado de la visita,2.Visita,6,false,false,S,No permiten por falta de stock,No,true,true,2026-04-10,2026-05-08
678,120,35,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,163,17,40,Claudia,true,2,true,PART,MADRID,2026-05-19,08:45:00,INCID,V,true,HORARIO,1.Info,2,false,false,T,Pendiente de confirmar,Si,true,true,2026-05-19,2026-05-19
705,123,44,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,67,17,40,Claudia,true,2,true,PART,MADRID,2026-04-18,,INFO,T,true,Tipo de farmacia,1. Visita,11,false,false,S,,,true,true,2026-04-16,2026-04-22
722,125,36,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,36,17,40,Claudia,true,2,true,PART,MADRID,2026-04-16,08:45:00,INCID,T,true,"En caso de hacer una mejora en Gaviscon, indícalo",2. Visibilidad,3,false,true,M,Mejora altura,,true,true,2026-04-12,2026-04-28
724,125,44,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,36,17,40,Claudia,true,2,true,PART,MADRID,2026-04-16,08:45:00,INCID,T,true,Tipo de farmacia,1. Visita,11,false,false,S,Farmacia orientada dermo,No,true,true,2026-04-12,2026-04-28
740,127,44,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,32,17,40,Claudia,true,2,true,PART,MADRID,2026-04-15,18:30:00,INCID,C,true,Tipo de farmacia,1. Visita,11,false,false,S,Otro,,true,true,2026-04-13,2026-04-30
757,129,42,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,23,17,40,Claudia,true,2,true,PART,MADRID,2026-04-12,18:00:00,INCID,,false,Indica el nº de facings de Strepsils/Strefen,2. Visibilidad,9,false,false,S,1,,true,true,2026-04-10,2026-05-13
761,130,42,5,3,Proyecto Visibilidad 3,2,Pharmakon Consumer Health,Campaña Jan 2026 – Proyecto Visibilidad 3,196,17,40,Claudia,true,2,true,PART,MADRID,2026-02-23,08:30:00,INCID,C,true,Indica el nº de facings de Strepsils/Strefen,2. Visibilidad,9,false,false,S,4,,true,true,2026-02-20,2026-03-14
